Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/clusters/486818732c691850ddcd5b241ca23319454fe575,180,0,770.0,800.909017894244,376.8836250019376,5310.833791998448,262144.0,3.0460183410657584,0.0,770,800,820,840,1200,1900,3500,4700,5300,5300,5300
GET,/clusters/4a09785674d14344d92b1212b6e810369535ea1c,177,0,780.0,798.9907930618679,382.3446249953122,4600.5516670047655,262144.0,2.9952513687146625,0.0,780,810,820,830,1400,1600,2400,4000,4600,4600,4600
GET,/clusters/4a7fb852bb3f120e676f906c7e208e43f6dc1003,175,0,780.0,926.6895683145101,382.6049170020269,6762.627000003704,262144.0,2.9614067204805985,0.0,780,820,860,1200,2000,2400,3600,4000,6800,6800,6800
GET,/clusters/4bb7275205086e01c4bdef60113abd1c6c07b666,182,0,770.0,804.3850244944873,384.27829099964583,5366.840458002116,262144.0,3.0798629892998224,0.0,770,810,830,850,1200,2200,2900,3500,5400,5400,5400
GET,/clusters/6bfb0a0bfd71b41f71bd956b5e6af76c8ad5cd2b,187,0,770.0,762.1222047649143,383.23691700497875,5696.93416699738,262144.0,3.1644746098849823,0.0,770,810,820,830,1200,1300,2300,4600,5700,5700,5700
GET,/clusters/b8186e0e1806966514ea8d45b3eb3e7681bdf974,149,0,770.0,822.6656233692122,384.2806659959024,5881.136707997939,262144.0,2.521426293437767,0.0,770,820,840,860,1200,1700,3500,4700,5900,5900,5900
GET,/clusters/c544b2178af4a4428cd1e12ca26d6428e3d24276,174,0,780.0,847.7356755288017,369.4873330023256,5184.649458999047,262144.0,2.9444843963635665,0.0,780,820,840,860,1200,2100,3900,5200,5200,5200,5200
GET,/clusters/d16bf0750fcda12088c406510f2d2f6c50d4097c,185,0,770.0,802.2077619951577,375.11758400069084,5828.249792000861,262144.0,3.1306299616509183,0.0,770,810,830,830,1200,1600,4000,5300,5800,5800,5800
GET,/clusters/dbf5013b65b95c339ecd6563acd4b8016cd0d80f,152,0,790.0,879.7915594934813,371.11449999792967,5355.044333999103,262144.0,2.572193265788863,0.0,790,820,840,890,1300,2300,4500,5300,5400,5400,5400
GET,/clusters/dcfc37347dd5794515d7bb08ffcbca654f47d744,172,0,780.0,812.8021402961929,378.9120829969761,5050.089042000764,262144.0,2.9106397481295025,0.0,780,820,840,1200,1200,2000,2400,3800,5100,5100,5100
GET,/clusters/ef4d97771d424720fb370d0e82f4537efb72c47a,145,0,770.0,839.6751026826176,372.38070799503475,5238.096166001924,262144.0,2.453736996969639,0.0,770,810,820,830,1300,2400,4000,4600,5200,5200,5200
GET,/clusters/f4468b46760db96b07658c71338db961fb6de72f,156,0,780.0,797.4303103461026,368.9080420008395,5257.670499995584,262144.0,2.639882562256991,0.0,780,820,830,840,1200,2400,2400,2900,5300,5300,5300
,Aggregated,2034,0,780.0,823.4240509670825,368.9080420008395,6762.627000003704,262144.0,34.42000725404307,0.0,780,810,830,850,1200,2100,3400,4500,5800,6800,6800
